********************************************************************************************************************************************************************************************************
*                                                                                        BULLETIN DE NOTES                                                                                             *
********************************************************************************************************************************************************************************************************
| Eleve      | MOYENNE GENERALE | SYSTEME D INFORMATION     Coef. 1,0 |              PROGRAMMATION VBA         Coef. 1,0 |              SQL                       Coef. 2,0 |              SCHEMA RELATIONNEL        Coef. 2,0 |              RESEAUX INFORMATIQUES     Coef. 1,0 |              MODELISATION              Coef. 1,5 |
________________________________________________________________________________________________________________________________________________________________________________________________________
MARC                ASSIN                10,00 |  7,25 |  6,75 | 13,00 | 11,00 |  9,50 |  9,64
JEAN                BONOT                11,50 | 13,00 | 16,00 | 10,00 | 12,00 | 10,00 | 12,17
MARTHE              INGALE               15,00 |  9,00 |  8,75 | 14,00 |  6,50 | 10,00 | 10,70
MARTHE              INNIC                15,00 |  9,00 |  8,75 | 14,00 |  6,50 | 10,00 | 10,70
ANNE                HOMALY               10,00 | 11,00 | 15,50 | 18,00 | 14,50 | 10,00 | 13,82
GERARD              MANTORT              10,00 | 11,00 | 18,75 | 17,75 | 12,50 | 11,00 | 14,47
PAUL                OCHAN                 4,50 |  6,50 |  3,25 |  6,50 |  9,25 |  8,75 |  6,22
********************************************************************************************************************************************************************************************************
*                               NOMBRE DE ELEVES 7                                                                                                                                                     *
*                               NOMBRE DE NOTES  42                                                                                                                                                    *
*                               NOMBRE DE COURS  6                                                                                                                                                     *
*                               MOYENNE DE GN    1110                                                                                                                                                  *
*                               MOYENNE DE C1    1010                                                                                                                                                  *
*                               MOYENNE DE C2    0910                                                                                                                                                  *
*                               MOYENNE DE C3    1110                                                                                                                                                  *
*                               MOYENNE DE C4    1310                                                                                                                                                  *
*                               MOYENNE DE C5    0010                                                                                                                                                  *
*                               MOYENNE DE C6    0910                                                                                                                                                  *
********************************************************************************************************************************************************************************************************
